artist,title,downloads,link,scrape_time
Joey Bada$$,1999,811907,/Joey-Bada-1999-mixtape.361792.html,16-09-18
Future & FreeBand Gang,Future Presents F.B.G: The Movie,798898,/Future-FreeBand-Gang-Future-Presents-FBG-The-Movie-mixtape.431423.html,16-09-18
Future & DJ Esco,Project E.T.,792589,/Future-DJ-Esco-Project-ET-mixtape.790706.html,16-09-18
Gucci Mane,Trap Back,788716,/Gucci-Mane-Trap-Back-mixtape.305854.html,16-09-18
Future & DJ Esco,56 Nights,787831,/Future-DJ-Esco-56-Nights-mixtape.695558.html,16-09-18
Childish Gambino,Royalty,783913,/Childish-Gambino-Royalty-mixtape.369224.html,16-09-18
Tyga,Well Done 2,773526,/Tyga-Well-Done-2-mixtape.252451.html,16-09-18
Wiz Khalifa,Flight School,766026,/Wiz-Khalifa-Flight-School-mixtape.42357.html,16-09-18
Juelz Santana,God Will'n,755599,/Juelz-Santana-God-Willn-mixtape.433174.html,16-09-18
Young Thug,Slime Season,749546,/Young-Thug-Slime-Season-mixtape.718112.html,16-09-18
Ace Hood,Starvation 2,748467,/Ace-Hood-Starvation-2-mixtape.435722.html,16-09-18
Wyclef Jean,April Showers,738568,/Wyclef-Jean-April-Showers-mixtape.482242.html,16-09-18
The Weeknd,Thursday,731781,/The-Weeknd-Thursday-mixtape.262806.html,16-09-18
Future,Monster,727113,/Future-Monster-mixtape.652571.html,16-09-18
50 Cent,The Lost Tape,717226,/50-Cent-The-Lost-Tape-mixtape.351717.html,16-09-18
Gucci Mane,I'm Up,709938,/Gucci-Mane-Im-Up-mixtape.352397.html,16-09-18
Lil Wayne,Dedication 3,708798,/Lil-Wayne-Dedication-3-mixtape.23950.html,16-09-18
Logic,Young Sinatra,707196,/Logic-Young-Sinatra-mixtape.271763.html,16-09-18
Lil Wayne,Dedication 6,702703,/Lil-Wayne-Dedication-6-mixtape.847743.html,16-09-18
Chris Brown & Tyga,Fan Of A Fan,702195,/Chris-Brown-Tyga-Fan-Of-A-Fan-mixtape.120319.html,16-09-18
J. Cole,The Warm Up,699049,/J-Cole-The-Warm-Up-mixtape.83635.html,16-09-18
Cassie,RockaByeBaby,697336,/Cassie-RockaByeBaby-mixtape.465275.html,16-09-18
Future,Astronaut Status,694821,/Future-Astronaut-Status-mixtape.303755.html,16-09-18
Big Sean,Finally Famous 3,686620,/Big-Sean-Finally-Famous-3-mixtape.148582.html,16-09-18
J Cole,Truly Yours 2,683916,/J-Cole-Truly-Yours-2-mixtape.483912.html,16-09-18
Juicy J,Blue Dream & Lean,676626,/Juicy-J-Blue-Dream-Lean-mixtape.288944.html,16-09-18
50 Cent,The Kanan Tape,676002,/50-Cent-The-Kanan-Tape-mixtape.740697.html,16-09-18
French Montana,Casino Life 2: Brown Bag Legend ,671889,/French-Montana-Casino-Life-2-Brown-Bag-Legend-mixtape.707038.html,16-09-18
Nipsey Hussle,Crenshaw,656244,/Nipsey-Hussle-Crenshaw-mixtape.532448.html,16-09-18
Lil Durk,Signed To The Streets 2,654365,/Lil-Durk-Signed-To-The-Streets-2-mixtape.620642.html,16-09-18
J. Cole,Truly Yours,650018,/J-Cole-Truly-Yours-mixtape.453989.html,16-09-18
"Rich Gang (Young Thug, Birdman & Rich Homie Quan)",Rich Gang: Tha Tour Pt 1,649986,/Rich-Gang-Young-Thug-Rich-Gang-Tha-Tour-Pt-1-mixtape.651609.html,16-09-18
Lil Durk,Signed To The Streets,644883,/Lil-Durk-Signed-To-The-Streets-mixtape.515989.html,16-09-18
Future,Beast Mode,638708,/Future-Beast-Mode-mixtape.680672.html,16-09-18
Fabolous,Summertime Shootout 2,637156,/Fabolous-Summertime-Shootout-2-mixtape.794922.html,16-09-18
Young Thug,Slime Season 2,635473,/Young-Thug-Slime-Season-2-mixtape.743358.html,16-09-18
Curren$y,New Jet City,631623,/Curreny-New-Jet-City-mixtape.449095.html,16-09-18
Gucci Mane,Trap God 2,627912,/Gucci-Mane-Trap-God-2-mixtape.453652.html,16-09-18
Pusha T,Wrath Of Caine,627739,/Pusha-T-Wrath-Of-Caine-mixtape.443448.html,16-09-18
Lil Wayne,Da Drought 3 - Disc 1,613877,/Lil-Wayne-Da-Drought-3-Disc-1-mixtape.4313.html,16-09-18
YG,Just Re'd Up 2,612444,/YG-Just-Red-Up-2-mixtape.441217.html,16-09-18
Wale,More About Nothing,612366,/Wale-More-About-Nothing-mixtape.141231.html,16-09-18
Meek Mill,Mr Philadelphia,609653,/Meek-Mill-Mr-Philadelphia-mixtape.146929.html,16-09-18
Tyler The Creator,Bastard,603403,/Tyler-The-Creator-Bastard-mixtape.184449.html,16-09-18
Curren$y & Styles P,#The1st28,599451,/Curreny-Styles-P-The1st28-mixtape.319149.html,16-09-18
Rick Ross,Ashes To Ashes,593757,/Rick-Ross-Ashes-To-Ashes-mixtape.181570.html,16-09-18
Tyga,Well Done,593417,/Tyga-Well-Done-mixtape.167426.html,16-09-18
B.o.B,Fuck Em We Ball,577406,/BoB-Fuck-Em-We-Ball-mixtape.415029.html,16-09-18
Lecrae,Church Clothes,572314,/Lecrae-Church-Clothes-mixtape.348497.html,16-09-18
Chance The Rapper,Coloring Book,570964,/Chance-The-Rapper-Coloring-Book-mixtape.783240.html,16-09-18
Ace Hood,Starvation 3,569473,/Ace-Hood-Starvation-3-mixtape.557340.html,16-09-18
Chance The Rapper,10 Day,562424,/Chance-The-Rapper-10-Day-mixtape.337986.html,16-09-18
KiD CuDi,A Kid Named Cudi,561555,/KiD-CuDi-A-Kid-Named-Cudi-mixtape.28404.html,16-09-18
T.I.,F*ck Da City Up,553661,/TI-Fck-Da-City-Up-mixtape.296837.html,16-09-18
Kodak Black,Lil B.I.G. Pac,551104,/Kodak-Black-Lil-BIG-Pac-mixtape.787992.html,16-09-18
Chris Brown,Boy In Detention,550733,/Chris-Brown-Boy-In-Detention-mixtape.257564.html,16-09-18
Rick Ross,Black Dollar,549187,/Rick-Ross-Black-Dollar-mixtape.732049.html,16-09-18
Mac Miller,The High Life,545380,/Mac-Miller-The-High-Life-mixtape.84610.html,16-09-18
Ace Hood,Starvation,539626,/Ace-Hood-Starvation-mixtape.320847.html,16-09-18
Chris Brown ,Before The Party,538956,/Chris-Brown-Before-The-Party-mixtape.749638.html,16-09-18
Migos,Y.R.N. (Young Rich Niggas),536262,/Migos-YRN-Young-Rich-Niggas-mixtape.498752.html,16-09-18
Wiz Khalifa,Cabin Fever 3,533969,/Wiz-Khalifa-Cabin-Fever-3-mixtape.751890.html,16-09-18
Tyga,Well Done 4,524886,/Tyga-Well-Done-4-mixtape.555029.html,16-09-18
Trey Songz,Anticipation 2,513129,/Trey-Songz-Anticipation-2-mixtape.279088.html,16-09-18
Wiz Khalifa,Star Power,510759,/Wiz-Khalifa-Star-Power-mixtape.62200.html,16-09-18
Los,Becoming King,506914,/Los-Becoming-King-mixtape.410791.html,16-09-18
Mac Miller,Faces,499265,/Mac-Miller-Faces-mixtape.610770.html,16-09-18
Kevin Gates,The Luca Brasi Story,497289,/Kevin-Gates-The-Luca-Brasi-Story-mixtape.450051.html,16-09-18
Lil Wayne,The Dedication,496644,/Lil-Wayne-The-Dedication-mixtape.51.html,16-09-18
Lil Wayne,Da Drought 3 - Disc 2,495653,/Lil-Wayne-Da-Drought-3-Disc-2-mixtape.4314.html,16-09-18
Kevin Gates,Murder For Hire,491552,/Kevin-Gates-Murder-For-Hire-mixtape.711886.html,16-09-18
Boosie Bad Azz,Life After Deathrow,491118,/Boosie-Bad-Azz-Life-After-Deathrow-mixtape.660415.html,16-09-18
Yo Gotti,Concealed,490758,/Yo-Gotti-Concealed-mixtape.680602.html,16-09-18
Kevin Gates,Stranger Than Fiction,484983,/Kevin-Gates-Stranger-Than-Fiction-mixtape.515984.html,16-09-18
Tyga,Black Thoughts 2,484717,/Tyga-Black-Thoughts-2-mixtape.218500.html,16-09-18
Young Jeezy,Trap Or Die 2,481995,/Young-Jeezy-Trap-Or-Die-2-mixtape.117512.html,16-09-18
Vado,Slime Flu 4,474495,/Vado-Slime-Flu-4-mixtape.517960.html,16-09-18
Wale,The Eleven One Eleven Theory ,473754,/Wale-The-Eleven-One-Eleven-Theory-mixtape.262805.html,16-09-18
Curren$y,Verde Terrace,472517,/Curreny-Verde-Terrace-mixtape.262815.html,16-09-18
Lil Uzi Vert,Lil Uzi Vs The World,468630,/Lil-Uzi-Vert-Lil-Uzi-Vs-The-World-mixtape.778460.html,16-09-18
Fabolous,There Is No Competition 2: The Funeral Service ,462863,/Fabolous-There-Is-No-Competition-2-The-Funeral-Service-mixtape.103255.html,16-09-18
French Montana,Wave Gods,457499,/French-Montana-Wave-Gods-mixtape.767788.html,16-09-18
Lil Wayne,D6: Reloaded,455252,/Lil-Wayne-D6-Reloaded-mixtape.877942.html,16-09-18
Kid Ink,Rocketshipshawty,454637,/Kid-Ink-Rocketshipshawty-mixtape.418446.html,16-09-18
