artist,title,downloads
Yo Gotti,CM6: Gangsta Of The Year,399129
Yo Gotti,January 10th (mixtape),396268
Tory Lanez,Chixtape 4,394315
Lil Durk,300 Days 300 Nights,393622
Lloyd Banks,V6: The Gift,392636
YG Feat. DJ Mustard,4 Hunnid Degreez ,390269
Migos,Rich Nigga Timeline,389413
Curren$y,The Drive In Theatre,388896
Lil Bibby,Free Crack 2,388057
Curren$y,Priest Andretti,386949
French Montana & Waka Flocka,Lock Out,384223
Drake,Room For Improvement,384031
ASAP Ferg,Ferg Forever,381019
Gucci Mane & Young Thug,Young Thugga Mane La Flare,378290
Juicy J,100% Juice,378007
Chief Keef,Sorry 4 The Weight,376361
Young Jeezy,The Real Is Back 2,374369
Tory Lanez,The New Toronto 2,372862
Pusha-T,Fear Of God,370460
Lil Wayne,Lil Weezy Ana,369667
Meek Mill,4-4 EP,368459
Lil Uzi Vert,The Perfect Luv Tape,368353
Logic,"Young, Broke & Infamous",367155
Curren$y,Covert Coup,366950
Big K.R.I.T.,4eva N A Day,365823
B.o.B,EPIC: Every Play Is Crucial,363096
Gucci Mane,Writings On The Wall 2,362206
Kodak Black,Institution,358140
Jhene Aiko,Sailing Soul(s),358032
Schoolboy Q,Setbacks,356519
Big K.R.I.T.,Return Of 4eva,352872
The Underachievers,Indigoism ,352413
Game,OKE,350936
Joe Budden,A Loose Quarter,348366
Big K.R.I.T.,It's Better This Way,345955
French Montana & Coke Boys,Coke Boys 2,344949
Gucci Mane,Trap Back 2,344045
J. Cole,The Come Up Mixtape Vol 1,343940
Gucci Mane,Diary Of A Trap God,343495
Game,California Republic,342557
Yo Gotti,Nov 19th: The Mixtape,341912
"Lil Wayne, Juelz Santana",Blow,341146
Lil Herb,Ballin Like I'm Kobe,339416
Juicy J,Blue Dream And Lean 2,338274
Ransom,Winter's Coming,337645
Wiz Khalifa,Prince Of The City 2,337456
Flatbush Zombies,D.R.U.G.S.,336622
Chris Brown,In My Zone 2,335591
Kid Ink,Wheels Up,334780
Migos,Back To The Bando,334631
BIG K.R.I.T.,Krit Wuz Here,333804
Kirko Bangz,Progression 2: A Young Texas Playa,333283
Chief Keef,Almighty So,331042
Kevin Gates,Make Em Believe,329686
Meek Mill,4-4 Pt 2,327803
J Cole,Any Given Sunday EP #1,325065
Lil Snupe,R.N.I.C.,324916
Kid Ink,Daydreamer,318581
Waka Flocka Flame,Duflocka Rant 2,315698
Flatbush ZOMBiES,BetterOffDEAD,314170
Trinidad James,Don't Be S.A.F.E,312203
Lil Bibby,Free Crack 3,311326
Nipsey Hussle,The Marathon,310798
Big K.R.I.T.,King Remembered In Time,308594
Gucci Mane & Future,Free Bricks 2 (Zone 6 Edition),307759
Chris Brown,In My Zone (gangsta Grillz),305847
Mac Miller,"I Love Life, Thank You",304403
2 Chainz,Daniel Son: Necklace Don,302339
2 Chainz,FreeBase,300688
Gucci Mane,Gucci 2 Time,300585
Mac Miller,The Jukebox: Prelude To Class Clown,298916
Future,True Story,297683
Cassidy,Mayhem Music: AP 3 ,297134
Ludacris,1.21 Gigawatts: Back To The First Time,296012
Tity Boi,Codeine Cowboy (A 2 Chainz Collective),294489
Gucci Mane & Future,Free Bricks,293488
Rockie Fresh,Electric Highway,289870
Nipsey Hussle,The Marathon Continues,288925
French Montana & Fetty Wap,Coke Zoo,288662
Ace Hood,The Statement 2,288263
Machine Gun Kelly ,Black Flag,287767
Rick Ross,The Albert Anastasia EP,287760
Lloyd Banks,The Cold Corner 2,287596
August Alsina,The Product 2,286681
Ludacris,#IDGAF,286016
Dizzy Wright,Free SmokeOut Conversations Mixtape,285707
YG,Just Re'd Up,284971
"Wiz Khalifa, Mac Miller",Sweet Sixteen Vol. 3: Under The Influence,283658
50 Cent,The Big 10,283377
Trey Songz,Anticipation,283021
Styles P,The Diamond Life Project,282797
Kendrick Lamar & Jay Rock,No Sleep Til NYC,281369
Wale,Summer On Sunset,277833
A$AP Mob,Lord$ Never Worry,276894
Nipsey Hussle,Slauson Boy 2,276743
Ty Dolla Sign (Ty$),Beach House 2,276533
Action Bronson,Blue Chips 2,275850
Gunplay,Bogota Rich,273045
Chevy Woods,Gang Land,272705
Lloyd Banks,F.N.O. (Failure's No Option),270375
Future,Dirty Sprite,270096
Chief Keef,Back From The Dead 2,269964
Yelawolf,Trunk Muzik,269359
French Montana,Mac & Cheese 2,268818
Juicy J,O's,265337
Torch,No AC (Hosted by Evil Empire) ,264492
Lil Yachty,Lil Boat,263809
Hustle Gang,G.D.O.D. (Get Dough Or Die),263255
Juicy J & Lex Luger,Rubba Band Business 2,262517
Birdman,Rich Gang: All Stars,261276
Lil Bibby,Free Crack,260145
Machine Gun Kelly,Lace Up!,258755
Chris Brown & OHB,Before The Trap: Nights In Tarzana,258393
Lupe Fiasco,Enemy Of The State: A Love Story,257968
Juicy J,Blue Dream & Lean (Bonus Tracks),257075
2 Chainz,Felt Like Cappin,256578
Fabolous & Trey Songz,Trappy New Years,255981
Young Jeezy,The Last Laugh,253170
Lil Durk,Life Aint No Joke,251656
Chris Webby,Bars On Me,251415
Tyga,Black Thoughts,248424
"Kendrick Lamar, Jay Rock, Ab-Soul, Schoolboy Q, K. Dot",Black Hippy,247450
Jim Jones,Vampire Life 2,246511
Young Jeezy,Trap Or Die (Gangsta Grillz Edition),246102
French Montana,Mac & Cheese 4: The Appetizer,245261
Young Scooter,Street Lottery,245199
Curren$y,Return To The Winner's Circle,244601
Meek Mill,Flamers 3,244404
Slaughterhouse,House Rules,244327
Machine Gun Kelly (MGK),100 Words And Running,243820
Rich Homie Quan,If You Ever Think I Will Stop Goin' In Ask RR,242779
Ace Hood,Starvation 4,242119
2 Chainz,Hibachi For Lunch,241714
T.I.,Fuck A Mixtape,239508
B.o.B,No Genre,239277
Casey Veggies,Life Changes,239123
Lil Wayne,The Drought Is Over 4,237915
Joey Bada$$,Rejex,237681
Earl Sweatshirt,Earl,237681
Ace Hood,Starvation 5,237307
Freddie Gibbs,Baby Face Killa,236104
Kevin Cossom,Hook Vs. Bridge 2,235244
Lil Reese,Don't Like,233625
Kid Ink,Crash Landing,232036
A Boogie,Artist ,231334
Jacquees,MOOD,231125
J Cole,Any Given Sunday EP #2,230820
Fabolous,There Is No Competition,230645
Yelawolf,Trunk Muzik Returns,227994
Ty Dolla Sign (Ty$),Airplane Mode,227891
Curren$y,Here (EP),227890
Trey Songz,Anticipation 3,227768
"French Montana, Juicy J & Project Pat",Cocaine Mafia,226309
Lecrae,Church Clothes 2,226249
Curren$y,Saturday Night Car Tunes,226232
Lupe Fiasco,Friend Of The People: I Fight Evil,225759
Shy Glizzy,Law 3: Now or Never,225650
MoneyBagg Yo,Heartless,225290
Danny Brown,XXX,224329
YFN Lucci,Wish Me Well,224069
Lil Uzi Vert,Luv Is Rage,223319
Young Jeezy,"1,000 Grams",222653
Migos & Rich The Kid,Streets On Lock 3,221096
Young Dolph,16 Zips,220990
Pro Era,Peep: The Aprocalypse,220250
Fabolous,Friday Night Freestyles,219767
Chris Webby,Webster's Laboratory,219407
K. Michelle,0 Fucks Given,218662
Dej Loaf,All Jokes Aside,218476
Jadakiss,The Champ Is Here 3,218370
Wiz Khalifa,Prince of the City - Welcome to Pistolvania,217675
Ace Hood,Body Bag,216893
Birdman & Rick Ross,The H ,215263
Ab-Soul,Long Term 2,214824
Meek Mill,Philadelphia Eagles 3,214716
2 Pistols,"""Arrogant"" Hosted By: DJ Scream ",212754
Vado,Slime Flu 3,212188
K. Michelle,Still No Fucks Given,212004
Asher Roth,Pabst & Jazz,211456
Tory Lanez,Chixtape 3,211223
Curren$y & Harry Fraud,Cigarette Boats,211076
Vic Mensa,Innanetape,210792
Kendrick Lamar,Kendrick Lamar (EP),209872
Cory Gunz,Datz WTF I'm Talkin Bout,209032
Action Bronson & The Alchemist,Rare Chandeliers,208900
Omarion,Care Package,208485
DJ Esco & Future,No Sleep,208431
Dom Kennedy,The Original Dom Kennedy,207966
Gucci Mane & Young Scooter,Free Bricks 2,207858
CyHi The Prynce,Black Hystori Project,205547
Fetty Wap,Two Face: Fetty Wap Or Zovier (The Mixtape) [Hosted By @OfficialYoungRB],204867
Various Artists,G.O.O.D Vs. YMCMB,204597
B.o.B,No Genre 2,203628
Taylor Gang,TGOD Vol. 1,203401
Hustle Gang,G.D.O.D. 2,202559
Trey Songz,#LemmeHolDatBeat,202400
Migos,3 Way EP,201761
Kendrick Lamar,K-Dot Training Day,201067
Chief Keef,Finally Rollin 2,200853
Young Jeezy,Trappin Aint Dead,199381
Young Jeezy,Can't ban the snowman,198859
Jadakiss,I Love You (A Dedication To My Fans),198631
Childish Gambino,Culdesac,198259
Gucci Mane,Brick Factory,197907
Lil Uzi Vert X Gucci Mane,1017 Vs The World,197036
G-Unit,The Lost Flash Drive,196898
Chris Webby,Best In The Burbs,196831
Juicy J,Highly Intoxicated,195836
The Underachievers,The Lords Of Flatbush,195819
Wiz Khalifa,Grow Season,195277
Dizzy Wright,The Golden Age,195276
Juicy J,#MUSTBENICE,193662
Dave East,Karma,192971
Chief Keef,The GBE Code,192807
French Montana,Coke Boys,192188
Dave East,Hate Me Now,191586
K Camp,One Way,191493
Cassidy,Apply Pressure 2,190149
"Chris Brown, OHB X Section Boyz",Attack The Block,190028
Nicki Minaj,Beam Me Up Scotty,189595
Sir Michael Rocks,Lap Of Lux,187400
Mac Miller,Delusional Thomas,187224
MoneyBagg Yo X Yo Gotti,2 Federal,187217
The Game,You Know What It Is Vol 4 - Murda Game Chronicles,187056
French Montana,Mister 16: Casino Life,186501
Lil Uzi Vert,Luv Is Rage 1.5 (EP),186309
Kirko Bangz,Progression 3,184875
Drake,Unbelievable,184528
Plies,On Trial,183608
Lil Boosie,The Return Of Mr Wipe Me Down,183506
Young Thug,1017 Thug,183362
Domo Genesis & The Alchemist ,No Idols,183095
J. Cole,Any Given Sunday EP #5,181606
Jadakiss,#T5DOA,181452
Jacquees & DeJ Loaf,Fuck A Friend Zone,180872
Migos,Migo Lingo,180678
Problem,The Separation,180674
D12,Return Of The Dozen The Mixtape Vol.1,179900
Gucci Mane & Chief Keef,Big Gucci Sosa ,179007
Papoose,Best of Papoose,178279
Curren$y,Cathedral,177544
Kodak Black,Heart Of The Project,177386
Machine Gun Kelly,EST 4 Life,177277
Red Cafe,American Psycho,177029
NBA YoungBoy,38 Baby,177005
Tee Grizzley,My Moment,176927
Kid Ink & Batgang,Batgang: 4B's,176818
Waka Flocka,I Can't Rap Vol. 1,176528
50 Cent ,5 (Murder By Numbers),176237
Don Trip,Guerrilla,175851
Waka Flocka,Salute Me Or Shoot Me 3,174514
Gucci Mane & Young Jeezy,Gucci Vs. Jeezy,173964
Big Sean,Uknowbigsean Vol 2,173710
Gucci Mane,Jewelry Selection,172983
Trinidad James,10pc. Mild ,172915
Yo Gotti,Cocaine Muzik 5: White Friday,172801
Rick Ross,Renzel Remixes (Disc 2),172568
Kendrick Lamar,C4,172407
Meek Mill,Flamers 2,171831
50 Cent,50 Cent is the future,170782
Chip Tha Ripper,Tell Ya Friends,170198
