artist,title,downloads
Snoop Dogg,Thats My Work 3,114211
Rocko,Gift Of Gab,114206
Boosie Badazz,Happy Thanksgiving & Merry Christmas,113815
K Camp,RARE,113636
Mila J,Battlefield America Soundtrack Mixtape Vol. 1,113515
Rich The Kid,Dabbin Fever,113508
Casey Veggies & Rockie Fresh,Fresh Veggies,113420
Yelawolf & DJ Paul,Black Fall (EP),113382
Young Jeezy,I Am The Street Dream,113188
Young Scooter ,80's Baby,113172
Various Artists,Hip Hop TXL Vol 81,113046
Lil Reese,Supa Savage 2,112845
King Lil G,#ak47boyz,112055
Iggy Azalea,Glory (EP),112e3
Torch,Tax Season,111839
Blac Youngsta,I'm Innocent,111379
Jay-Z & 9th Wonder,Black American Gangster,111243
Chris Webby,The White Noise LP,111190
Freddie Gibbs,Cold Day In Hell,110741
Various Artists,Hip Hop TXL Vol 50,110734
Tyga,Outraged & Underage,110629
T-Pain & Lil Wayne,T-Wayne,110523
Rich Homie Quan,ABTA : Still Going In,110512
PARTYNEXTDOOR,PNDCOLOURS,110306
Hell Rell,Not Guilty,109439
Yung Berg,Chicago Redemption,108866
Curren$y,The Legend Of Harvard Blue,108863
Schoolboy Q,Schoolboy Turned Hustla,108616
Gunplay,Acquitted,108418
Meek Mill,Flamers,108379
Chevy Woods,Gang Land 2,108156
Problem,Welcome To Mollywood 2,107919
The Cool Kids,Gone Fishing: Instrumentals,107487
Various Artists,Hip Hop TXL Vol 11,107357
"Lil Wayne, Juelz Santana",My Face Can't Be Felt,107207
21 Savage,Slaughter Tape,107176
The Lox,The Trinity (3rd Sermon),107014
Blac Youngsta,Illuminati,106995
Waka Flocka ,Flockaveli 1.5,106919
Various Artists,Hip Hop TXL Vol 28,106769
Schoolboy Q,Gangsta & Soul,106612
Cyhi The Prynce,Ivy League Club,106286
Gucci Mane,The Spot (Soundtrack),106250
Various Artists,Hip Hop TXL Vol 29,106181
Curren$y,Weed & Instrumentals ,106163
Wale,100 Miles and Running,106054
Blac Youngsta,Young & Reckless,105949
Rich Homie Quan,DTSpacely Made This,105143
Various Artists,Hip Hop TXL Vol 17,104936
Roscoe Dash,Dash Effect,104814
Mark Battles,Walking Distance,104777
Various Artists,Hip Hop TXL Vol 77,104646
The Neighbourhood,#000000 & #ffffff,104605
XV,Popular Culture,104089
Cyhi The Prynce,BHP 2: N.A.A.C.P,104028
Gucci Mane,Gucci 3D By Gucci Mane,103632
Jay Electronica,What The F*ck Is A Jay Electronica,103593
Tory Lanez,Sincerely Tory,103447
Plies,On Trial 2,103227
Kirko Bangz,Progression IV,102894
Lil Wayne,The Prefix,102671
Ar-Ab,Who Harder Than Me 2,102659
Game,Purp & Patron: The Hangover,102641
Bow Wow,Im Better Than You,102269
Pretty Ricky,Sex Music Vol. 1: Streets N The Sheets,102137
Young Buck,Live Loyal Die Rich,102031
Gucci Mane,East Atlanta Santa 2,101951
Ludacris,A Hustler's Spirit,101909
"2 Chainz, Cap 1, Skooly & Short Dawg",T.R.U. (The Real University),101904
Vince Staples,Shyne Coldchain Vol. 2,101896
Jim Jones,Vampire Life 3,101638
Papoose,Hoodie Season Pt 2,101310
Rick Ross,Black Diamonds,101192
Wiz Khalifa,Northern Lights,101163
Curren$y & Jet Life,Red Eye Mixtape,101083
The Furnace,The Homebass Ep,100865
Cassidy,Da Barbarian,100726
Various Artists,Hip Hop TXL Vol 27,100489
Dom Kennedy,From The Westside With Love,100486
Big K.R.I.T.,Last King 2 (God's Machine),100482
Tech N9ne,Bad Season,100415
Wale,Before I Shine,100295
Nelly,Scorpio Season,100251
Chief Keef,Almighty DP 2,100229
Various Artists,Hip Hop TXL Vol 53,100170
Waka Flocka Flame,Salute Me Or  Shoot Me  2,100141
O.T. Genasis,R&B: Rhythm & Bricks,100086
