artist,title,downloads,link,scrape_time
Joey Bada$$,1999,811898,/Joey-Bada-1999-mixtape.361792.html,15-09-18
Future & FreeBand Gang,Future Presents F.B.G: The Movie,798870,/Future-FreeBand-Gang-Future-Presents-FBG-The-Movie-mixtape.431423.html,15-09-18
Future & DJ Esco,Project E.T.,792550,/Future-DJ-Esco-Project-ET-mixtape.790706.html,15-09-18
Gucci Mane,Trap Back,788705,/Gucci-Mane-Trap-Back-mixtape.305854.html,15-09-18
Future & DJ Esco,56 Nights,787810,/Future-DJ-Esco-56-Nights-mixtape.695558.html,15-09-18
Childish Gambino,Royalty,783905,/Childish-Gambino-Royalty-mixtape.369224.html,15-09-18
Tyga,Well Done 2,773520,/Tyga-Well-Done-2-mixtape.252451.html,15-09-18
Wiz Khalifa,Flight School,766010,/Wiz-Khalifa-Flight-School-mixtape.42357.html,15-09-18
Juelz Santana,God Will'n,755594,/Juelz-Santana-God-Willn-mixtape.433174.html,15-09-18
Young Thug,Slime Season,749504,/Young-Thug-Slime-Season-mixtape.718112.html,15-09-18
Ace Hood,Starvation 2,748464,/Ace-Hood-Starvation-2-mixtape.435722.html,15-09-18
Wyclef Jean,April Showers,738567,/Wyclef-Jean-April-Showers-mixtape.482242.html,15-09-18
The Weeknd,Thursday,731777,/The-Weeknd-Thursday-mixtape.262806.html,15-09-18
Future,Monster,727080,/Future-Monster-mixtape.652571.html,15-09-18
50 Cent,The Lost Tape,717216,/50-Cent-The-Lost-Tape-mixtape.351717.html,15-09-18
Gucci Mane,I'm Up,709932,/Gucci-Mane-Im-Up-mixtape.352397.html,15-09-18
Lil Wayne,Dedication 3,708765,/Lil-Wayne-Dedication-3-mixtape.23950.html,15-09-18
Logic,Young Sinatra,707155,/Logic-Young-Sinatra-mixtape.271763.html,15-09-18
Lil Wayne,Dedication 6,702595,/Lil-Wayne-Dedication-6-mixtape.847743.html,15-09-18
Chris Brown & Tyga,Fan Of A Fan,702190,/Chris-Brown-Tyga-Fan-Of-A-Fan-mixtape.120319.html,15-09-18
J. Cole,The Warm Up,699032,/J-Cole-The-Warm-Up-mixtape.83635.html,15-09-18
Cassie,RockaByeBaby,697335,/Cassie-RockaByeBaby-mixtape.465275.html,15-09-18
Future,Astronaut Status,694809,/Future-Astronaut-Status-mixtape.303755.html,15-09-18
Big Sean,Finally Famous 3,686618,/Big-Sean-Finally-Famous-3-mixtape.148582.html,15-09-18
J Cole,Truly Yours 2,683887,/J-Cole-Truly-Yours-2-mixtape.483912.html,15-09-18
Juicy J,Blue Dream & Lean,676622,/Juicy-J-Blue-Dream-Lean-mixtape.288944.html,15-09-18
50 Cent,The Kanan Tape,675987,/50-Cent-The-Kanan-Tape-mixtape.740697.html,15-09-18
French Montana,Casino Life 2: Brown Bag Legend ,671881,/French-Montana-Casino-Life-2-Brown-Bag-Legend-mixtape.707038.html,15-09-18
Nipsey Hussle,Crenshaw,656237,/Nipsey-Hussle-Crenshaw-mixtape.532448.html,15-09-18
Lil Durk,Signed To The Streets 2,654361,/Lil-Durk-Signed-To-The-Streets-2-mixtape.620642.html,15-09-18
J. Cole,Truly Yours,650002,/J-Cole-Truly-Yours-mixtape.453989.html,15-09-18
"Rich Gang (Young Thug, Birdman & Rich Homie Quan)",Rich Gang: Tha Tour Pt 1,649954,/Rich-Gang-Young-Thug-Rich-Gang-Tha-Tour-Pt-1-mixtape.651609.html,15-09-18
Lil Durk,Signed To The Streets,644872,/Lil-Durk-Signed-To-The-Streets-mixtape.515989.html,15-09-18
Future,Beast Mode,638682,/Future-Beast-Mode-mixtape.680672.html,15-09-18
Fabolous,Summertime Shootout 2,637122,/Fabolous-Summertime-Shootout-2-mixtape.794922.html,15-09-18
Young Thug,Slime Season 2,635436,/Young-Thug-Slime-Season-2-mixtape.743358.html,15-09-18
Curren$y,New Jet City,631619,/Curreny-New-Jet-City-mixtape.449095.html,15-09-18
Gucci Mane,Trap God 2,627900,/Gucci-Mane-Trap-God-2-mixtape.453652.html,15-09-18
Pusha T,Wrath Of Caine,627736,/Pusha-T-Wrath-Of-Caine-mixtape.443448.html,15-09-18
Lil Wayne,Da Drought 3 - Disc 1,613857,/Lil-Wayne-Da-Drought-3-Disc-1-mixtape.4313.html,15-09-18
YG,Just Re'd Up 2,612436,/YG-Just-Red-Up-2-mixtape.441217.html,15-09-18
Wale,More About Nothing,612357,/Wale-More-About-Nothing-mixtape.141231.html,15-09-18
Meek Mill,Mr Philadelphia,609644,/Meek-Mill-Mr-Philadelphia-mixtape.146929.html,15-09-18
Tyler The Creator,Bastard,603394,/Tyler-The-Creator-Bastard-mixtape.184449.html,15-09-18
Curren$y & Styles P,#The1st28,599449,/Curreny-Styles-P-The1st28-mixtape.319149.html,15-09-18
Rick Ross,Ashes To Ashes,593754,/Rick-Ross-Ashes-To-Ashes-mixtape.181570.html,15-09-18
Tyga,Well Done,593414,/Tyga-Well-Done-mixtape.167426.html,15-09-18
B.o.B,Fuck Em We Ball,577406,/BoB-Fuck-Em-We-Ball-mixtape.415029.html,15-09-18
Lecrae,Church Clothes,572313,/Lecrae-Church-Clothes-mixtape.348497.html,15-09-18
Chance The Rapper,Coloring Book,570955,/Chance-The-Rapper-Coloring-Book-mixtape.783240.html,15-09-18
Ace Hood,Starvation 3,569467,/Ace-Hood-Starvation-3-mixtape.557340.html,15-09-18
Chance The Rapper,10 Day,562411,/Chance-The-Rapper-10-Day-mixtape.337986.html,15-09-18
KiD CuDi,A Kid Named Cudi,561547,/KiD-CuDi-A-Kid-Named-Cudi-mixtape.28404.html,15-09-18
T.I.,F*ck Da City Up,553657,/TI-Fck-Da-City-Up-mixtape.296837.html,15-09-18
Kodak Black,Lil B.I.G. Pac,551085,/Kodak-Black-Lil-BIG-Pac-mixtape.787992.html,15-09-18
Chris Brown,Boy In Detention,550731,/Chris-Brown-Boy-In-Detention-mixtape.257564.html,15-09-18
